rk,player,nation,squad,comp,season,age,born,mp,starts,min,ninety_mins_played,goals_against,ga_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_pct,position,age_range,general_position,country,continent
2,Rúnar Alex Rúnarsson,ISL,Dijon,Ligue 1,2018,23,1995,25,25,2250,25.0,43,1.72,99,56,58.6,7,5,13,5,20.0,2,2,0,0,0.0,GK,20-24,Goalkeeper,Iceland,Europe
3,Alisson,BRA,Liverpool,Premier League,2018,25,1992,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,GK,25-29,Goalkeeper,Brazil,South America
4,Bobby Allain,FRA,Dijon,Ligue 1,2018,26,1991,13,13,1170,13.0,17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,0.0,GK,25-29,Goalkeeper,France,Europe
7,Alphonse Areola,FRA,Paris S-G,Ligue 1,2018,25,1993,21,21,1890,21.0,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0.0,GK,25-29,Goalkeeper,France,Europe
10,Emil Audero,ITA,Sampdoria,Serie A,2018,21,1997,36,36,3240,36.0,51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5,GK,20-24,Goalkeeper,Italy,Europe
11,Francesco Bardi,ITA,Frosinone,Serie A,2018,26,1992,3,3,270,3.0,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,,GK,25-29,Goalkeeper,Italy,Europe
12,Oliver Baumann,GER,Hoffenheim,Bundesliga,2018,28,1990,33,33,2970,33.0,51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,0.0,GK,25-29,Goalkeeper,Germany,Europe
13,Asmir Begović,BIH,Bournemouth,Premier League,2018,31,1987,24,24,2160,24.0,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0.0,GK,30-34,Goalkeeper,Bosnia and Herzegovina,Europe
14,Diego Benaglio,SUI,Monaco,Ligue 1,2018,34,1983,23,22,2057,22.9,38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,0,40.0,GK,30-34,Goalkeeper,Switzerland,Europe
15,Walter Benítez,ARG,Nice,Ligue 1,2018,25,1993,35,35,3150,35.0,29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,0,60.0,GK,25-29,Goalkeeper,Argentina,South America
16,Etrit Berisha,ALB,Atalanta,Serie A,2018,29,1989,18,18,1620,18.0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0,GK,25-29,Goalkeeper,Albania,Europe
17,Paul Bernardoni,FRA,Nîmes,Ligue 1,2018,21,1997,38,38,3420,38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0,GK,20-24,Goalkeeper,France,Europe
18,Dimitry Bertaud,COD,Montpellier,Ligue 1,2018,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,GK,20-24,Goalkeeper,DR Congo,Africa
19,Marcus Bettinelli,ENG,Fulham,Premier League,2018,26,1992,7,7,630,7.0,20,2.86,40,19,52.5,1,2,4,0,0.0,3,1,1,1,50.0,GK,25-29,Goalkeeper,England,Europe
22,Zacharie Boucher,FRA,Angers,Ligue 1,2018,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,GK,25-29,Goalkeeper,France,Europe
23,Yassine Bounou,MAR,Girona,La Liga,2018,27,1991,32,32,2862,31.8,43,1.35,166,124,77.7,8,10,14,8,25.0,6,6,0,0,0.0,GK,25-29,Goalkeeper,Morocco,Africa
24,Fabian Bredlow,GER,Nürnberg,Bundesliga,2018,23,1995,14,12,1127,12.5,28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,1,100.0,GK,20-24,Goalkeeper,Germany,Europe
25,Gianluigi Buffon,ITA,Paris S-G,Ligue 1,2018,40,1978,17,17,1530,17.0,18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,0,50.0,GK,Over 40,Goalkeeper,Italy,Europe
26,Roman Bürki,SUI,Dortmund,Bundesliga,2018,27,1990,32,32,2880,32.0,40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,0.0,GK,25-29,Goalkeeper,Switzerland,Europe
27,Ludovic Butelle,FRA,Angers,Ligue 1,2018,35,1983,36,36,3239,36.0,48,1.33,161,113,72.0,9,15,12,11,30.6,5,3,2,0,40.0,GK,35-39,Goalkeeper,France,Europe
28,David Button,ENG,Brighton,Premier League,2018,29,1989,4,4,360,4.0,5,1.25,18,13,83.3,1,1,2,1,25.0,2,2,0,0,0.0,GK,25-29,Goalkeeper,England,Europe
29,Willy Caballero,ARG,Chelsea,Premier League,2018,36,1981,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,GK,35-39,Goalkeeper,Argentina,South America
30,Rafael Cabral,BRA,Sampdoria,Serie A,2018,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,GK,25-29,Goalkeeper,Brazil,South America
31,Marc-Aurèle Caillard,FRA,Guingamp,Ligue 1,2018,24,1994,21,21,1890,21.0,34,1.62,93,58,64.5,4,7,10,6,28.6,2,1,1,0,50.0,GK,20-24,Goalkeeper,France,Europe
