rk,player,nation,squad,comp,season,age,born,ninety_mins_played,ga,penalties_allowed,free_kick_goals_allowed,corner_goals_allowed,own_goals,post_shot_xg,post_shot_xg_on_target,post_shot_xg_minus_ga,post_shot_xg_minus_ga_per_90,passes_completed_plus_40_yards,passes_attempted_plus_40_yards,passes_pct_plus_40_yards,total_passes_attempted,throws_attempted,launch_pct,avg_pass_length,goal_kicks_attempted,goal_kick_launch_pct,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_pct,defensive_actions_outside_penalty_area,defensive_opa_per_90,avg_defensive_action_distance,position,age_range,general_position,country,continent
2,Rúnar Alex Rúnarsson,ISL,Dijon,Ligue 1,2018,23,1995,25.0,43,2,2,5,0,33.8,0.32,-9.2,-0.37,166,388,42.8,655,126,36.2,33.7,213,70.9,51.4,326,13,4.0,45,1.80,18.6,GK,20-24,Goalkeeper,Iceland,Europe
3,Alisson,BRA,Liverpool,Premier League,2018,25,1992,38.0,22,0,0,5,0,27.2,0.29,+5.2,+0.14,129,311,41.5,1072,212,20.1,28.8,216,44.0,41.3,385,16,4.2,59,1.55,16.6,GK,25-29,Goalkeeper,Brazil,South America
4,Bobby Allain,FRA,Dijon,Ligue 1,2018,26,1991,13.0,17,1,0,2,1,17.0,0.23,+1.0,+0.08,132,283,46.6,333,68,54.4,41.0,125,81.6,53.9,230,21,9.1,18,1.38,13.1,GK,25-29,Goalkeeper,France,Europe
7,Alphonse Areola,FRA,Paris S-G,Ligue 1,2018,25,1993,21.0,17,4,0,1,1,18.3,0.22,+2.3,+0.11,40,94,42.6,377,100,15.9,25.3,139,24.5,32.0,255,7,2.7,13,0.62,13.7,GK,25-29,Goalkeeper,France,Europe
10,Emil Audero,ITA,Sampdoria,Serie A,2018,21,1997,36.0,51,7,2,6,1,49.5,0.30,-0.5,-0.01,123,370,33.2,860,181,25.9,28.7,297,49.5,39.1,587,25,4.3,48,1.33,15.0,GK,20-24,Goalkeeper,Italy,Europe
11,Francesco Bardi,ITA,Frosinone,Serie A,2018,26,1992,3.0,5,0,1,0,0,3.8,0.32,-1.2,-0.41,13,40,32.5,59,15,49.2,36.1,15,73.3,50.9,34,3,8.8,0,0.00,7.0,GK,25-29,Goalkeeper,Italy,Europe
12,Oliver Baumann,GER,Hoffenheim,Bundesliga,2018,28,1990,33.0,51,6,1,4,1,47.5,0.26,-2.5,-0.08,164,397,41.3,1036,191,28.8,29.3,248,39.9,39.4,441,14,3.2,58,1.76,18.0,GK,25-29,Goalkeeper,Germany,Europe
13,Asmir Begović,BIH,Bournemouth,Premier League,2018,31,1987,24.0,47,2,0,5,2,34.5,0.32,-10.5,-0.44,129,328,39.3,466,128,42.5,35.9,192,67.7,49.9,365,24,6.6,16,0.67,11.3,GK,30-34,Goalkeeper,Bosnia and Herzegovina,Europe
14,Diego Benaglio,SUI,Monaco,Ligue 1,2018,34,1983,22.9,38,3,0,3,1,34.2,0.31,-2.8,-0.12,87,225,38.7,462,113,28.4,30.3,186,50.5,41.1,327,9,2.8,15,0.66,12.6,GK,30-34,Goalkeeper,Switzerland,Europe
15,Walter Benítez,ARG,Nice,Ligue 1,2018,25,1993,35.0,29,2,0,5,1,40.4,0.25,+12.4,+0.35,127,344,36.9,838,204,22.1,28.5,308,51.6,41.2,559,17,3.0,14,0.40,11.5,GK,25-29,Goalkeeper,Argentina,South America
16,Etrit Berisha,ALB,Atalanta,Serie A,2018,29,1989,18.0,25,1,1,5,3,18.2,0.27,-3.8,-0.21,91,199,45.7,345,90,26.4,30.3,135,80.0,51.7,208,8,3.8,19,1.06,14.5,GK,25-29,Goalkeeper,Albania,Europe
17,Paul Bernardoni,FRA,Nîmes,Ligue 1,2018,21,1997,38.0,58,4,0,4,1,60.4,0.31,+3.4,+0.09,234,690,33.9,825,160,54.3,40.0,290,83.4,55.2,491,28,5.7,33,0.87,14.5,GK,20-24,Goalkeeper,France,Europe
18,Dimitry Bertaud,COD,Montpellier,Ligue 1,2018,20,1998,1.0,0,0,0,0,0,0.1,0.08,+0.1,+0.08,9,25,36.0,23,3,56.5,39.9,13,92.3,52.3,13,1,7.7,0,0.00,9.0,GK,20-24,Goalkeeper,DR Congo,Africa
19,Marcus Bettinelli,ENG,Fulham,Premier League,2018,26,1992,7.0,20,1,0,1,0,17.5,0.39,-2.5,-0.36,64,143,44.8,176,32,49.4,37.3,67,83.6,53.9,129,1,0.8,11,1.57,16.0,GK,25-29,Goalkeeper,England,Europe
22,Zacharie Boucher,FRA,Angers,Ligue 1,2018,26,1992,2.0,1,0,0,0,0,1.0,0.26,0.0,+0.02,10,32,31.3,36,8,47.2,39.4,17,88.2,60.5,37,4,10.8,2,1.00,17.8,GK,25-29,Goalkeeper,France,Europe
