rk,player,nation,squad,comp,season,age,born,ninety_mins_played,tackles,tackles_won,def_third_tackles,mid_third_tackles,att_third_tackles,dribblers_tackled,dribblers_challenged,tackle_pct,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_interceptions,clearances,errors,position,age_range,general_position,country,continent
3,Yunis Abdelhamid,MAR,Reims,Ligue 1,2020,32.0,1987.0,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0,DF,30-34,Defender,Morocco,Africa
4,Sabit Abdulai,GHA,Getafe,La Liga,2020,21.0,1999.0,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,MF,20-24,Midfielder,Ghana,Africa
6,Laurent Abergel,FRA,Lorient,Ligue 1,2020,27.0,1993.0,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0,MF,25-29,Midfielder,France,Europe
7,Charles Abi,FRA,Saint-Étienne,Ligue 1,2020,20.0,2000.0,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0,"FW,MF",20-24,Forward,France,Europe
10,David Abraham,ARG,Eint Frankfurt,Bundesliga,2020,34.0,1986.0,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0,DF,30-34,Defender,Argentina,South America
11,Tammy Abraham,ENG,Chelsea,Premier League,2020,22.0,1997.0,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,FW,20-24,Forward,England,Europe
12,Amir Abrashi,ALB,Freiburg,Bundesliga,2020,30.0,1990.0,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,"MF,DF",30-34,Midfielder,Albania,Europe
13,Gennaro Acampora,ITA,Spezia,Serie A,2020,26.0,1994.0,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0,"MF,FW",25-29,Midfielder,Italy,Europe
14,Francesco Acerbi,ITA,Lazio,Serie A,2020,32.0,1988.0,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2,DF,30-34,Defender,Italy,Europe
15,Ragnar Ache,GER,Eint Frankfurt,Bundesliga,2020,22.0,1998.0,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0,"FW,DF",20-24,Forward,Germany,Europe
16,Marcos Acuña,ARG,Sevilla,La Liga,2020,28.0,1991.0,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1,DF,25-29,Defender,Argentina,South America
18,Tyler Adams,USA,RB Leipzig,Bundesliga,2020,21.0,1999.0,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0,"MF,DF",20-24,Midfielder,United States,North America
