rk,player,nation,squad,comp,season,age,born,ninety_mins_played,shot_creating_actions,sca_per_90,pass_live_sca,pass_dead_sca,take_on_sca,shot_sca,foul_drawn_sca,defensive_action_sca,goal_creating_actions,gca_per_90,pass_live_gca,pass_dead_gca,take_on_gca,shot_gca,foul_drawn_gca,defensive_action_gca,position,age_range,general_position,country,continent
2,Max Aarons,ENG,Norwich City,Premier League,2019,19.0,2000.0,36.0,64,1.78,47,2,6,3,4,2,3,0.08,2,0,0,0,1,0,DF,Under 20,Defender,England,Europe
3,Yunis Abdelhamid,MAR,Reims,Ligue 1,2019,31.0,1987.0,28.0,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0,DF,30-34,Defender,Morocco,Africa
4,Suleiman Abdullahi,NGA,Union Berlin,Bundesliga,2019,22.0,1996.0,1.7,4,2.29,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,"FW,MF",20-24,Forward,Nigeria,Africa
6,Charles Abi,FRA,Saint-Étienne,Ligue 1,2019,19.0,2000.0,6.9,18,2.6,11,0,1,1,4,1,2,0.29,1,0,0,0,1,0,FW,Under 20,Forward,France,Europe
7,David Abraham,ARG,Eint Frankfurt,Bundesliga,2019,33.0,1986.0,18.8,13,0.69,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0,DF,30-34,Defender,Argentina,South America
8,Tammy Abraham,ENG,Chelsea,Premier League,2019,21.0,1997.0,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0,FW,20-24,Forward,England,Europe
9,Amir Abrashi,ALB,Freiburg,Bundesliga,2019,29.0,1990.0,7.4,10,1.35,9,0,1,0,0,0,0,0.0,0,0,0,0,0,0,MF,25-29,Midfielder,Albania,Europe
10,Francesco Acerbi,ITA,Lazio,Serie A,2019,31.0,1988.0,35.1,37,1.05,34,0,0,2,1,0,5,0.14,5,0,0,0,0,0,DF,30-34,Defender,Italy,Europe
12,Tyler Adams,USA,RB Leipzig,Bundesliga,2019,20.0,1999.0,10.6,19,1.79,14,1,0,2,2,0,2,0.19,1,0,0,0,1,0,"MF,DF",20-24,Midfielder,United States,North America
13,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2019,26.0,1993.0,8.3,21,2.53,18,0,0,1,2,0,5,0.6,4,0,0,0,1,0,"FW,MF",25-29,Forward,Armenia,Asia
16,Claud Adjapong,ITA,Hellas Verona,Serie A,2019,21.0,1998.0,2.6,1,0.39,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,DF,20-24,Defender,Italy,Europe
17,Amine Adli,MAR,Toulouse,Ligue 1,2019,19.0,2000.0,0.5,3,5.87,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,"MF,FW",Under 20,Midfielder,Morocco,Africa
18,Yacine Adli,FRA,Bordeaux,Ligue 1,2019,19.0,2000.0,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0,MF,Under 20,Midfielder,France,Europe
24,Kevin Agudelo,COL,Fiorentina,Serie A,2019,20.0,1998.0,0.7,7,9.84,4,0,3,0,0,0,1,1.41,1,0,0,0,0,0,"MF,FW",20-24,Midfielder,Colombia,South America
25,Kevin Agudelo,COL,Genoa,Serie A,2019,20.0,1998.0,7.4,32,4.33,24,0,5,0,1,2,2,0.27,1,0,0,0,0,1,"MF,FW",20-24,Midfielder,Colombia,South America
26,Nayef Aguerd,MAR,Dijon,Ligue 1,2019,23.0,1996.0,10.6,4,0.38,3,1,0,0,0,0,1,0.09,1,0,0,0,0,0,DF,20-24,Defender,Morocco,Africa
27,Sergio Agüero,ARG,Manchester City,Premier League,2019,31.0,1988.0,16.1,57,3.53,31,0,9,12,5,0,7,0.43,3,0,1,2,1,0,FW,30-34,Forward,Argentina,South America
