rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
3,Yunis Abdelhamid,MAR,Reims,Ligue 1,2020,32.0,1987.0,32.1,4,1,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4,DF,30-34,Defender,Morocco,Africa
4,Sabit Abdulai,GHA,Getafe,La Liga,2020,21.0,1999.0,0.7,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,25.0,MF,20-24,Midfielder,Ghana,Africa
6,Laurent Abergel,FRA,Lorient,Ligue 1,2020,27.0,1993.0,32.9,5,0,0,44,37,0,26,46,84,1,0,0,231,9,17,34.6,MF,25-29,Midfielder,France,Europe
7,Charles Abi,FRA,Saint-Étienne,Ligue 1,2020,20.0,2000.0,10.1,1,0,0,18,7,7,3,4,2,0,0,0,26,37,59,38.5,"FW,MF",20-24,Forward,France,Europe
10,David Abraham,ARG,Eint Frankfurt,Bundesliga,2020,34.0,1986.0,13.6,5,1,1,9,6,1,13,17,12,0,0,0,76,31,18,63.3,DF,30-34,Defender,Argentina,South America
11,Tammy Abraham,ENG,Chelsea,Premier League,2020,22.0,1997.0,11.6,0,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6,FW,20-24,Forward,England,Europe
12,Amir Abrashi,ALB,Freiburg,Bundesliga,2020,30.0,1990.0,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3,"MF,DF",30-34,Midfielder,Albania,Europe
13,Gennaro Acampora,ITA,Spezia,Serie A,2020,26.0,1994.0,4.9,2,0,0,10,12,1,7,4,4,0,0,0,31,3,5,37.5,"MF,FW",25-29,Midfielder,Italy,Europe
14,Francesco Acerbi,ITA,Lazio,Serie A,2020,32.0,1988.0,31.3,9,1,1,31,24,2,32,76,32,0,0,0,227,62,25,71.3,DF,30-34,Defender,Italy,Europe
15,Ragnar Ache,GER,Eint Frankfurt,Bundesliga,2020,22.0,1998.0,1.1,1,0,0,5,1,1,1,1,0,0,0,0,3,9,7,56.3,"FW,DF",20-24,Forward,Germany,Europe
16,Marcos Acuña,ARG,Sevilla,La Liga,2020,28.0,1991.0,25.9,5,0,0,45,32,2,119,23,42,0,2,0,160,20,33,37.7,DF,25-29,Defender,Argentina,South America
18,Tyler Adams,USA,RB Leipzig,Bundesliga,2020,21.0,1999.0,20.6,3,0,0,29,29,2,19,29,24,0,0,0,169,21,13,61.8,"MF,DF",20-24,Midfielder,United States,North America
19,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2020,27.0,1993.0,5.3,2,0,0,5,8,3,10,6,4,0,0,0,20,11,11,50.0,"FW,MF",25-29,Forward,Armenia,Asia
20,Tosin Adarabioyo,ENG,Fulham,Premier League,2020,22.0,1997.0,32.8,1,0,0,16,6,2,2,42,19,0,1,1,143,82,38,68.3,DF,20-24,Defender,England,Europe
22,Yacine Adli,FRA,Bordeaux,Ligue 1,2020,20.0,2000.0,26.9,6,0,0,39,37,0,53,39,37,0,0,0,172,27,27,50.0,MF,20-24,Midfielder,France,Europe
23,Andrea Adorante,ITA,Parma,Serie A,2020,20.0,2000.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,FW,20-24,Forward,Italy,Europe
27,Felix Agu,GER,Werder Bremen,Bundesliga,2020,20.0,1999.0,7.8,0,0,0,5,26,1,12,12,9,0,0,0,45,13,11,54.2,DF,20-24,Defender,Germany,Europe
28,Kevin Agudelo,COL,Spezia,Serie A,2020,21.0,1998.0,15.1,4,0,0,20,32,2,11,10,28,0,0,0,60,16,34,32.0,FW,20-24,Forward,Colombia,South America
29,Nayef Aguerd,MAR,Rennes,Ligue 1,2020,24.0,1996.0,35.0,6,0,0,22,29,2,1,47,30,0,1,0,197,121,71,63.0,DF,20-24,Defender,Morocco,Africa
30,Sergio Agüero,ARG,Manchester City,Premier League,2020,32.0,1988.0,6.2,0,0,0,2,7,1,1,2,1,0,0,0,12,2,4,33.3,FW,30-34,Forward,Argentina,South America
31,Ruben Aguilar,FRA,Monaco,Ligue 1,2020,27.0,1993.0,24.7,6,0,0,39,36,1,118,47,37,1,0,0,139,46,38,54.8,"DF,MF",25-29,Defender,France,Europe
34,Jean-Eudes Aholou,CIV,Strasbourg,Ligue 1,2020,26.0,1994.0,23.8,9,0,0,50,32,0,8,53,25,0,0,0,165,40,30,57.1,MF,25-29,Midfielder,Ivory Coast,Africa
35,Jean-Eudes Aholou,CIV,Monaco,Ligue 1,2020,26.0,1994.0,0.4,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,100.0,MF,25-29,Midfielder,Ivory Coast,Africa
36,Joseph Aidoo,GHA,Celta Vigo,La Liga,2020,24.0,1995.0,14.3,3,0,0,13,13,1,1,25,17,0,0,0,89,42,40,51.2,DF,20-24,Defender,Ghana,Africa
37,Ola Aina,NGA,Fulham,Premier League,2020,23.0,1996.0,29.6,3,0,0,32,25,2,52,45,20,0,0,0,147,31,36,46.3,DF,20-24,Defender,Nigeria,Africa
38,Rayan Aït-Nouri,ALG,Wolves,Premier League,2020,19.0,2001.0,15.6,1,0,0,15,19,1,61,15,16,0,1,0,86,5,23,17.9,DF,Under 20,Defender,Algeria,Africa
