rk,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
3,Yunis Abdelhamid,MAR,Reims,Ligue 1,2020,32.0,1987.0,32.1,1506,1762,85.5,30174,12190,427,483,88.4,909,999,91.0,154,238,64.7,0,0.3,0.3,-0.3,4,76,1,0,99,DF,30-34,Defender,Morocco,Africa
4,Sabit Abdulai,GHA,Getafe,La Liga,2020,21.0,1999.0,0.7,7,14,50.0,140,10,2,5,40.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,0,1,MF,20-24,Midfielder,Ghana,Africa
6,Laurent Abergel,FRA,Lorient,Ligue 1,2020,27.0,1993.0,32.9,1288,1564,82.4,22633,6551,591,661,89.4,524,596,87.9,145,224,64.7,1,1.7,1.4,-0.7,20,115,13,4,138,MF,25-29,Midfielder,France,Europe
7,Charles Abi,FRA,Saint-Étienne,Ligue 1,2020,20.0,2000.0,10.1,128,202,63.4,1703,317,81,111,73.0,27,44,61.4,9,17,52.9,2,0.3,0.3,1.7,6,11,6,0,21,"FW,MF",20-24,Forward,France,Europe
10,David Abraham,ARG,Eint Frankfurt,Bundesliga,2020,34.0,1986.0,13.6,558,678,82.3,10633,3990,214,239,89.5,280,325,86.2,60,95,63.2,0,0.4,0.5,-0.4,2,50,3,1,55,DF,30-34,Defender,Argentina,South America
11,Tammy Abraham,ENG,Chelsea,Premier League,2020,22.0,1997.0,11.6,149,211,70.6,1714,297,85,111,76.6,33,46,71.7,4,8,50.0,1,0.7,0.2,0.3,9,14,1,0,11,FW,20-24,Forward,England,Europe
12,Amir Abrashi,ALB,Freiburg,Bundesliga,2020,30.0,1990.0,0.7,18,23,78.3,258,20,11,14,78.6,4,5,80.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,0,"MF,DF",30-34,Midfielder,Albania,Europe
13,Gennaro Acampora,ITA,Spezia,Serie A,2020,26.0,1994.0,4.9,185,223,83.0,3437,574,79,86,91.9,83,100,83.0,19,27,70.4,0,0.0,0.2,0.0,1,20,2,0,28,"MF,FW",25-29,Midfielder,Italy,Europe
14,Francesco Acerbi,ITA,Lazio,Serie A,2020,32.0,1988.0,31.3,1854,2097,88.4,35641,11589,703,767,91.7,880,930,94.6,248,352,70.5,1,1.0,1.4,0.0,10,110,21,10,141,DF,30-34,Defender,Italy,Europe
15,Ragnar Ache,GER,Eint Frankfurt,Bundesliga,2020,22.0,1998.0,1.1,19,32,59.4,222,43,12,17,70.6,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,"FW,DF",20-24,Forward,Germany,Europe
16,Marcos Acuña,ARG,Sevilla,La Liga,2020,28.0,1991.0,25.9,1415,1767,80.1,24839,9704,675,730,92.5,542,639,84.8,159,310,51.3,2,2.6,2.9,-0.6,32,104,35,19,114,DF,25-29,Defender,Argentina,South America
