rk,player,nation,squad,comp,season,age,born,ninety_mins_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,free_kick_shots,penalty_kicks,penalty_kicks_attempted,xg,non_penalty_xg,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,position,age_range,general_position,country,continent
2,Yunis Abdelhamid,MAR,Reims,Ligue 1,2021,33.0,1987.0,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,0.8,0.8,DF,30-34,Defender,Morocco,Africa
3,Salis Abdul Samed,GHA,Clermont Foot,Ligue 1,2021,21.0,2000.0,27.4,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,0.7,0.7,0.04,0.3,0.3,MF,20-24,Midfielder,Ghana,Africa
4,Laurent Abergel,FRA,Lorient,Ligue 1,2021,28.0,1993.0,32.8,0,29,7,24.1,0.88,0.21,0.0,0.0,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5,MF,25-29,Midfielder,France,Europe
5,Charles Abi,FRA,Saint-Étienne,Ligue 1,2021,21.0,2000.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FW,20-24,Forward,France,Europe
6,Dickson Abiama,NGA,Greuther Fürth,Bundesliga,2021,22.0,1998.0,8.1,0,18,4,22.2,2.23,0.5,0.0,0.0,16.7,0,0,0,1.8,1.8,0.1,-1.8,-1.8,FW,20-24,Forward,Nigeria,Africa
7,Matthis Abline,FRA,Rennes,Ligue 1,2021,18.0,2003.0,1.1,0,2,0,0.0,1.75,0.0,0.0,,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,FW,Under 20,Forward,France,Europe
8,Tammy Abraham,ENG,Roma,Serie A,2021,23.0,1997.0,34.3,17,92,35,38.0,2.68,1.02,0.15,0.4,12.9,3,3,3,20.7,18.4,0.2,-3.7,-4.4,FW,20-24,Forward,England,Europe
9,Luis Abram,PER,Granada,La Liga,2021,25.0,1996.0,6.2,0,2,0,0.0,0.32,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,DF,25-29,Defender,Peru,South America
10,Francesco Acerbi,ITA,Lazio,Serie A,2021,33.0,1988.0,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,1.6,1.6,DF,30-34,Defender,Italy,Europe
11,Ragnar Ache,GER,Eint Frankfurt,Bundesliga,2021,23.0,1998.0,2.9,0,10,2,20.0,3.47,0.69,0.0,0.0,16.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,"MF,FW",20-24,Midfielder,Germany,Europe
13,Marcos Acuña,ARG,Sevilla,La Liga,2021,29.0,1991.0,25.1,1,16,5,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.2,1.2,0.08,-0.2,-0.2,DF,25-29,Defender,Argentina,South America
15,Tyler Adams,USA,RB Leipzig,Bundesliga,2021,22.0,1999.0,15.0,0,2,0,0.0,0.13,0.0,0.0,,21.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,MF,20-24,Midfielder,United States,North America
16,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2021,28.0,1993.0,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,17.2,0,0,0,0.7,0.7,0.22,0.3,0.3,"FW,MF",25-29,Forward,Armenia,Asia
18,Amine Adli,MAR,Leverkusen,Bundesliga,2021,21.0,2000.0,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.3,4.3,0.12,-1.3,-1.3,"FW,MF",20-24,Forward,Morocco,Africa
19,Yacine Adli,FRA,Bordeaux,Ligue 1,2021,21.0,2000.0,25.1,1,32,15,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2.0,2.0,0.06,-1.0,-1.0,"MF,FW",20-24,Midfielder,France,Europe
42,Ilias Akhomach,MAR,Barcelona,La Liga,2021,17.0,2004.0,1.4,0,4,2,50.0,2.9,1.45,0.0,0.0,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,FW,Under 20,Forward,Morocco,Africa
43,Maghnes Akliouche,FRA,Monaco,Ligue 1,2021,19.0,2002.0,0.6,0,2,1,50.0,3.33,1.67,0.0,0.0,16.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,"MF,FW",Under 20,Midfielder,France,Europe
44,Paul Akouokou,CIV,Betis,La Liga,2021,23.0,1997.0,5.7,0,2,0,0.0,0.35,0.0,0.0,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0,MF,20-24,Midfielder,Ivory Coast,Africa
46,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,2021,26.0,1995.0,17.0,2,12,4,33.3,0.71,0.24,0.17,0.5,12.8,0,0,0,1.2,1.2,0.1,0.8,0.8,"DF,FW",25-29,Defender,Nigeria,Africa
47,David Alaba,AUT,Real Madrid,La Liga,2021,29.0,1992.0,29.4,2,21,7,33.3,0.72,0.24,0.1,0.29,21.8,7,0,0,1.6,1.6,0.09,0.4,0.4,DF,25-29,Defender,Austria,Europe
48,Sofiane Alakouch,MAR,Metz,Ligue 1,2021,23.0,1998.0,1.8,0,1,0,0.0,0.57,0.0,0.0,,27.4,0,0,0,0.0,0.0,0.02,0.0,0.0,"DF,MF",20-24,Defender,Morocco,Africa
49,Tomás Alarcón,CHI,Cádiz,La Liga,2021,22.0,1999.0,15.8,0,15,2,13.3,0.95,0.13,0.0,0.0,24.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1,MF,20-24,Midfielder,Chile,South America
50,Lucas Alario,ARG,Leverkusen,Bundesliga,2021,28.0,1992.0,7.3,6,22,13,59.1,3.02,1.79,0.27,0.46,11.7,0,0,1,6.0,5.2,0.24,0.0,0.8,FW,25-29,Forward,Argentina,South America
55,Marc Albrighton,ENG,Leicester City,Premier League,2021,31.0,1989.0,12.6,1,4,1,25.0,0.32,0.08,0.25,1.0,16.3,0,0,0,0.5,0.5,0.12,0.5,0.5,"FW,DF",30-34,Forward,England,Europe
59,Omar Alderete,PAR,Valencia,La Liga,2021,24.0,1996.0,26.7,2,18,5,27.8,0.67,0.19,0.11,0.4,16.7,0,0,0,0.8,0.8,0.05,1.2,1.2,DF,20-24,Defender,Paraguay,South America
61,Doğan Alemdar,TUR,Rennes,Ligue 1,2021,18.0,2002.0,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,Under 20,Goalkeeper,Turkey,Asia
63,Trent Alexander-Arnold,ENG,Liverpool,Premier League,2021,22.0,1998.0,31.7,2,51,15,29.4,1.61,0.47,0.04,0.13,24.0,8,0,0,2.4,2.4,0.05,-0.4,-0.4,DF,20-24,Defender,England,Europe
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
65,Alisson,BRA,Liverpool,Premier League,2021,28.0,1992.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GK,25-29,Goalkeeper,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
66,Allan,BRA,Everton,Premier League,2021,30.0,1991.0,24.3,0,7,3,42.9,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,MF,30-34,Midfielder,Brazil,South America
67,Jim Allevinah,GAB,Clermont Foot,Ligue 1,2021,26.0,1995.0,16.5,1,43,15,34.9,2.6,0.91,0.02,0.07,19.2,1,0,0,2.8,2.8,0.07,-1.8,-1.8,FW,25-29,Forward,Gabon,Africa
68,Dele Alli,ENG,Tottenham,Premier League,2021,25.0,1996.0,7.3,1,3,2,66.7,0.41,0.27,0.0,0.0,21.4,0,1,1,1.6,0.8,0.26,-0.6,-0.8,MF,25-29,Midfielder,England,Europe
69,Dele Alli,ENG,Everton,Premier League,2021,25.0,1996.0,3.8,0,3,0,0.0,0.8,0.0,0.0,,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,"MF,FW",25-29,Midfielder,England,Europe
70,Miguel Almirón,PAR,Newcastle Utd,Premier League,2021,27.0,1994.0,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7,"MF,FW",25-29,Midfielder,Paraguay,South America
72,Giorgio Altare,ITA,Cagliari,Serie A,2021,22.0,1998.0,16.3,1,18,6,33.3,1.11,0.37,0.06,0.17,13.7,0,0,0,1.0,1.0,0.06,0.0,0.0,DF,20-24,Defender,Italy,Europe
75,Dani Alves,BRA,Barcelona,La Liga,2021,38.0,1983.0,12.2,1,5,2,40.0,0.41,0.16,0.2,0.5,31.4,0,0,0,0.3,0.3,0.06,0.7,0.7,DF,35-39,Defender,Brazil,South America
76,Steven Alzate,COL,Brighton,Premier League,2021,22.0,1998.0,4.5,0,1,1,100.0,0.22,0.22,0.0,0.0,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,MF,20-24,Midfielder,Colombia,South America
77,Ibrahim Amadou,FRA,Metz,Ligue 1,2021,28.0,1993.0,9.0,1,3,2,66.7,0.33,0.22,0.33,0.5,9.4,0,0,0,0.4,0.4,0.13,0.6,0.6,"DF,MF",25-29,Defender,France,Europe
81,Jordan Amavi,FRA,Nice,Ligue 1,2021,27.0,1994.0,4.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,DF,25-29,Defender,France,Europe
82,Jordan Amavi,FRA,Marseille,Ligue 1,2021,27.0,1994.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,"DF,FW",25-29,Defender,France,Europe
84,Kelvin Amian,FRA,Spezia,Serie A,2021,23.0,1998.0,29.4,1,26,7,26.9,0.88,0.24,0.04,0.14,15.1,0,0,0,2.6,2.6,0.1,-1.6,-1.6,DF,20-24,Defender,France,Europe
85,Nadiem Amiri,GER,Genoa,Serie A,2021,24.0,1996.0,7.6,0,16,6,37.5,2.11,0.79,0.0,0.0,23.8,1,0,0,0.9,0.9,0.06,-0.9,-0.9,"MF,FW",20-24,Midfielder,Germany,Europe
86,Nadiem Amiri,GER,Leverkusen,Bundesliga,2021,24.0,1996.0,4.1,1,8,2,25.0,1.95,0.49,0.13,0.5,21.1,1,0,0,0.5,0.5,0.06,0.5,0.5,"MF,FW",20-24,Midfielder,Germany,Europe
