player_id,player,season,games,wins,draws,loses,wins_for_1,wins_for_2+
532,Claudio Pizarro,2018,35,12,7,16,4,8
3333,James Milner,2018,48,31,8,9,12,19
3333,James Milner,2019,52,42,6,4,19,23
3333,James Milner,2020,29,16,6,7,7,9
3333,James Milner,2021,41,24,7,10,6,18
3333,James Milner,2022,50,34,8,7,13,21
3333,James Milner,2023,25,12,6,7,6,6
3455,Zlatan Ibrahimović,2019,0,0,0,0,0,0
3455,Zlatan Ibrahimović,2020,31,20,8,3,6,14
3455,Zlatan Ibrahimović,2021,34,18,6,10,8,10
4018,Daniel Baier,2018,32,7,9,16,4,3
4018,Daniel Baier,2019,32,11,5,16,4,7
5017,Niklas Moisander,2018,30,13,8,9,6,7
5017,Niklas Moisander,2019,26,12,6,8,5,7
5303,Souleymane Camara,2018,33,12,14,7,7,5
5348,Florent Balmont,2019,36,8,9,19,6,2
5672,Étienne Didot,2018,35,6,11,18,3,3
5928,Sergio Pellissier,2018,39,7,12,20,7,0
5947,Daniele De Rossi,2018,33,18,6,9,6,12
6636,Christian Fuchs,2019,20,11,2,7,5,6
7101,Paolo Sammarco,2018,6,0,2,4,0,0
7663,Joaquín,2018,34,17,9,8,11,6
7663,Joaquín,2019,40,13,9,18,10,3
7663,Joaquín,2020,36,11,7,18,3,8
7663,Joaquín,2021,48,26,12,10,14,12
7663,Joaquín,2022,37,18,11,8,11,7
7971,Salomon Kalou,2018,33,12,12,9,5,7
7971,Salomon Kalou,2019,37,12,8,17,6,6
8198,Cristiano Ronaldo,2018,46,33,9,4,13,20
8198,Cristiano Ronaldo,2019,41,27,8,6,17,10
8198,Cristiano Ronaldo,2020,39,24,7,8,7,17
8198,Cristiano Ronaldo,2022,36,19,6,11,11,8
8806,Cesc Fàbregas,2019,28,12,9,7,5,7
8806,Cesc Fàbregas,2020,21,9,4,8,7,2
10003,Wes Morgan,2018,30,12,6,12,5,7
10003,Wes Morgan,2019,36,17,6,13,7,10
10503,Uwe Hünemeier,2019,16,4,3,9,2,2
11111,Ramiro Funes Mori,2018,24,6,12,6,2,4
11111,Ramiro Funes Mori,2020,31,16,8,7,6,10
11268,Oliver Fink,2018,7,4,1,2,2,2
12249,Éver Banega,2018,53,29,11,13,13,16
12249,Éver Banega,2019,39,19,7,13,12,7
