player_id,market_value_in_eur,player,competition_name,season,squad,decade
271988,100000,Borja Fernández,La Liga,2018,Valladolid,2010s
7663,500000,Joaquín,La Liga,2018,Betis,2010s
323169,2000000,Sergio García,La Liga,2018,Espanyol,2010s
8198,120000000,Cristiano Ronaldo,Premier League,2018,Juventus,2010s
12249,12000000,Éver Banega,La Liga,2018,Sevilla,2010s
15956,6000000,Jesús Navas,La Liga,2018,Sevilla,2010s
16306,40000000,Casemiro,Premier League,2018,Real Madrid,2010s
18922,50000000,Karim Benzema,La Liga,2018,Real Madrid,2010s
18944,40000000,Gerard Piqué,La Liga,2018,Barcelona,2010s
20506,5000000,Andrés Guardado,La Liga,2018,Betis,2010s
21725,18000000,Filipe Luís,La Liga,2018,Atltico Madrid,2010s
25557,40000000,Sergio Ramos,La Liga,2018,Real Madrid,2010s
26066,500000,Iván Ramis,La Liga,2018,Eibar,2010s
26148,100000,Juanjo Camacho,La Liga,2018,Huesca,2010s
27374,6000000,Sidnei,La Liga,2018,Betis,2010s
27389,20000000,Kévin Gameiro,Ligue 1,2018,Valencia,2010s
28003,180000000,Lionel Messi,Ligue 1,2018,Barcelona,2010s
29124,1000000,Aritz Aduriz,La Liga,2018,Athletic Club,2010s
30677,4000000,Gustavo Cabral,La Liga,2018,Celta Vigo,2010s
31909,80000000,Toni Kroos,La Liga,2018,Real Madrid,2010s
35939,15000000,Ezequiel Garay,La Liga,2018,Valencia,2010s
37712,1500000,Daniel Carriço,La Liga,2018,Sevilla,2010s
37917,2000000,Nabil El Zhar,La Liga,2018,Legans,2010s
39381,75000000,Gareth Bale,La Liga,2018,Real Madrid,2010s
40888,5000000,Beñat Etxebarria,La Liga,2018,Athletic Club,2010s
44065,1500000,Esteban Granero,La Liga,2018,Espanyol,2010s
424784,85000000,Luis Suárez,La Liga,2018,Barcelona,2010s
45121,8000000,Loïc Rémy,Ligue 1,2018,Lille,2010s
45319,5000000,Gabriel Mercado,La Liga,2018,Sevilla,2010s
51510,2000000,Ángel Rodríguez,La Liga,2018,Getafe,2010s
51663,1000000,Pedro Alcalá,La Liga,2018,Girona,2010s
51667,1000000,Kiko Olivas,La Liga,2018,Valladolid,2010s
54235,9000000,Iker Muniain,La Liga,2018,Athletic Club,2010s
54928,35000000,Diego Godín,Serie A,2018,Atltico Madrid,2010s
56067,6000000,Pablo Piatti,La Liga,2018,Espanyol,2010s
57825,500000,Jorge Molina,La Liga,2018,Getafe,2010s
59323,5000000,Cristhian Stuani,La Liga,2018,Girona,2010s
59344,15000000,Asier Illarramendi,La Liga,2018,Real Sociedad,2010s
59375,3000000,David Zurutuza,La Liga,2018,Real Sociedad,2010s
60890,2000000,Fabián Orellana,La Liga,2018,Eibar,2010s
62144,500000,Antoñito,La Liga,2018,Valladolid,2010s
62920,14000000,Víctor Ruiz,La Liga,2018,Villarreal,2010s
63290,4000000,Víctor Sánchez,La Liga,2018,Espanyol,2010s
64598,7000000,Bernardo Espinosa,La Liga,2018,Girona,2010s
65318,9000000,Jaume Costa,La Liga,2018,Villarreal,2010s
66106,4000000,Sergio Canales,La Liga,2018,Betis,2010s
67082,25000000,Vitolo,La Liga,2018,Atltico Madrid,2010s
67090,1000000,Dídac Vilà,La Liga,2018,Espanyol,2010s
67546,600000,Jorge Pulido,La Liga,2018,Huesca,2010s
67808,2500000,Borja García,La Liga,2018,Girona,2010s
69660,1500000,Jonás Ramalho,La Liga,2018,Girona,2010s
69751,40000000,Jordi Alba,La Liga,2018,Barcelona,2010s
70934,6000000,Nolito,La Liga,2018,Sevilla,2010s
71204,400000,Javi Moyano,La Liga,2018,Valladolid,2010s
71548,2000000,Anaitz Arbilla,La Liga,2018,Eibar,2010s
71918,800000,David Ferreiro,La Liga,2018,Huesca,2010s
72047,18000000,Iago Aspas,La Liga,2018,Celta Vigo,2010s
568158,1000000,Javi López,La Liga,2018,Espanyol,2010s
73636,1500000,Hernán Pérez,La Liga,2018,Espanyol,2010s
74229,70000000,Koke,La Liga,2018,Atltico Madrid,2010s
74230,18000000,Pablo Sarabia,Premier League,2018,Sevilla,2010s
75820,400000,Juan Aguilera,La Liga,2018,Huesca,2010s
76163,12000000,Franco Vázquez,La Liga,2018,Sevilla,2010s
76285,400000,Toño,La Liga,2018,Levante,2010s
76746,2500000,Damián Suárez,La Liga,2018,Getafe,2010s
77826,6000000,Ryad Boudebouz,Ligue 1,2018,Celta Vigo,2010s
80293,6000000,Aïssa Mandi,Ligue 1,2018,Betis,2010s
81988,5000000,Sergi Enrich,La Liga,2018,Eibar,2010s
85288,75000000,Isco,La Liga,2018,Real Madrid,2010s
85324,5000000,Borja Bastón,Premier League,2018,Alavs,2010s
85370,40000000,Sergi Roberto,Serie A,2018,Barcelona,2010s
88490,7500000,Aleix Vidal,La Liga,2018,Sevilla,2010s
93935,7500000,Sergio Escudero,La Liga,2018,Sevilla,2010s
96718,6000000,Óscar de Marcos,La Liga,2018,Athletic Club,2010s
96828,25000000,Simone Zaza,Serie A,2018,Torino,2010s
98249,3500000,Takashi Inui,La Liga,2018,Alavs,2010s
98322,3000000,Denis Cheryshev,La Liga,2018,Valencia,2010s
98596,5000000,John Guidetti,La Liga,2018,Alavs,2010s
99353,5000000,Portu,La Liga,2018,Girona,2010s
111621,200000,Dani Ojeda,La Liga,2018,Legans,2010s
114060,350000,Enric Gallego,La Liga,2018,Huesca,2010s
115333,2500000,Juanpe,La Liga,2018,Girona,2010s
119228,15000000,Luis Muriel,Serie A,2018,Fiorentina,2010s
119235,12000000,Carlos Bacca,La Liga,2018,Villarreal,2010s
120095,3000000,José Campaña,La Liga,2018,Levante,2010s
122155,12000000,Willian José,La Liga,2018,Real Sociedad,2010s
125781,100000000,Antoine Griezmann,La Liga,2018,Atltico Madrid,2010s
126664,16000000,Lucas Digne,Premier League,2018,Everton,2010s
126716,18000000,Paco Alcácer,La Liga,2018,Dortmund,2010s
126737,7500000,Juanmi,La Liga,2018,Real Sociedad,2010s
127189,25000000,Geoffrey Kondogbia,Ligue 1,2018,Valencia,2010s
127837,3000000,Ibai Gómez,La Liga,2018,Athletic Club,2010s
128295,1000000,Tito,La Liga,2018,Rayo Vallecano,2010s
947431,6500000,David López,La Liga,2018,Espanyol,2010s
129476,14000000,Gerard Deulofeu,Serie A,2018,Watford,2010s
129693,1500000,Gaku Shibasaki,La Liga,2018,Getafe,2010s
131248,3000000,Joel Campbell,Serie A,2018,Frosinone,2010s
135343,3000000,Fabian Schär,Premier League,2018,Newcastle Utd,2010s
138803,1500000,Francisco Portillo,La Liga,2018,Getafe,2010s
141834,6000000,Cristian Tello,La Liga,2018,Betis,2010s
142021,11000000,Sergi Darder,La Liga,2018,Espanyol,2010s
142027,600000,Pablo Hervías,La Liga,2018,Valladolid,2010s
145769,5000000,Sergio León,La Liga,2018,Betis,2010s
146854,25000000,Wissam Ben Yedder,Ligue 1,2018,Sevilla,2010s
148928,70000000,Saúl Ñíguez,La Liga,2018,Atltico Madrid,2010s
486078,1500000,Charles,La Liga,2018,Eibar,2010s
156808,800000,Unai Bustinza,La Liga,2018,Legans,2010s
158791,1800000,Sergio Postigo,La Liga,2018,Levante,2010s
158863,25000000,Iñigo Martínez,La Liga,2018,Athletic Club,2010s
160182,100000,José Ángel,La Liga,2018,Eibar,2010s
162056,3500000,Gonzalo Melero,La Liga,2018,Huesca,2010s
164055,1500000,David Juncà,La Liga,2018,Celta Vigo,2010s
165873,1500000,Federico Barba,Serie A,2018,Chievo,2010s
175449,2000000,Moi Gómez,La Liga,2018,Huesca,2010s
176553,25000000,Aymeric Laporte,Premier League,2018,Manchester City,2010s
177046,1000000,Rubén Duarte,La Liga,2018,Alavs,2010s
177065,4000000,Florin Andone,Premier League,2018,Brighton,2010s
177467,12000000,Gerard Moreno,La Liga,2018,Villarreal,2010s
177847,10000000,Adnan Januzaj,La Liga,2018,Real Sociedad,2010s
178187,1000000,Álex Alegría,La Liga,2018,Rayo Vallecano,2010s
182904,15000000,Clément Lenglet,La Liga,2018,Barcelona,2010s
183647,7500000,Álvaro González,Ligue 1,2018,Villarreal,2010s
188838,800000,Bruno González,La Liga,2018,Getafe,2010s
189458,1000000,Emiliano Velázquez,La Liga,2018,Rayo Vallecano,2010s
192009,2000000,Unai López,La Liga,2018,Athletic Club,2010s
192735,7500000,Stanislav Lobotka,Serie A,2018,Celta Vigo,2010s
192736,1500000,Sabin Merino,La Liga,2018,Legans,2010s
193098,800000,Álex Moreno,Premier League,2018,Rayo Vallecano,2010s
195171,7000000,Samu Castillejo,Serie A,2018,Milan,2010s
195605,3000000,José Pozo,La Liga,2018,Rayo Vallecano,2010s
197545,5000000,Ander Capa,La Liga,2018,Athletic Club,2010s
203394,7500000,Andreas Pereira,Premier League,2018,Manchester Utd,2010s
210143,600000,Álex Gallar,La Liga,2018,Huesca,2010s
211251,1800000,Darwin Machís,La Liga,2018,Udinese,2010s
212391,1500000,Roger Martí,La Liga,2018,Levante,2010s
213670,800000,Lucas Torró,La Liga,2018,Eint Frankfurt,2010s
670710,22000000,André Gomes,Ligue 1,2018,Everton,2010s
221150,7500000,Djené,La Liga,2018,Getafe,2010s
