player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,tackles,tackles_won,def_third_tackles,mid_third_tackles,att_third_tackles,dribblers_tackled,dribblers_challenged,tackle_pct,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_interceptions,clearances,errors,position,age_range,general_position,country,continent
199704,Yunis Abdelhamid,MAR,Reims,Ligue 1,2020,32.0,1987.0,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0,DF,30-34,Defender,Morocco,Africa
238626,Laurent Abergel,FRA,Lorient,Ligue 1,2020,27.0,1993.0,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0,MF,25-29,Midfielder,France,Europe
418658,Charles Abi,FRA,Saint-tienne,Ligue 1,2020,20.0,2000.0,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0,"FW,MF",20-24,Forward,France,Europe
58178,David Abraham,ARG,Eint Frankfurt,Bundesliga,2020,34.0,1986.0,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0,DF,30-34,Defender,Argentina,South America
331726,Tammy Abraham,ENG,Chelsea,Premier League,2020,22.0,1997.0,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,FW,20-24,Forward,England,Europe
332705,Tyler Adams,USA,RB Leipzig,Bundesliga,2020,21.0,1999.0,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0,"MF,DF",20-24,Midfielder,United States,North America
125614,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2020,27.0,1993.0,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0,"FW,MF",25-29,Forward,Armenia,Asia
258878,Tosin Adarabioyo,ENG,Fulham,Premier League,2020,22.0,1997.0,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2,DF,20-24,Defender,England,Europe
395236,Yacine Adli,FRA,Bordeaux,Ligue 1,2020,20.0,2000.0,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2,MF,20-24,Midfielder,France,Europe
393512,Felix Agu,GER,Werder Bremen,Bundesliga,2020,20.0,1999.0,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,0,DF,20-24,Defender,Germany,Europe
587458,Kevin Agudelo,COL,Spezia,Serie A,2020,21.0,1998.0,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,0,FW,20-24,Forward,Colombia,South America
361914,Nayef Aguerd,MAR,Rennes,Ligue 1,2020,24.0,1996.0,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102,0,DF,20-24,Defender,Morocco,Africa
26399,Sergio Agero,ARG,Manchester City,Premier League,2020,32.0,1988.0,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0,FW,30-34,Forward,Argentina,South America
