player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age_range,general_position,country,continent
199704,Yunis Abdelhamid,MAR,Reims,Ligue 1,2020,32.0,1987.0,32.1,1506,1762,85.5,30174,12190,427,483,88.4,909,999,91.0,154,238,64.7,0,0.3,0.3,-0.3,4,76,1,0,99,DF,30-34,Defender,Morocco,Africa
238626,Laurent Abergel,FRA,Lorient,Ligue 1,2020,27.0,1993.0,32.9,1288,1564,82.4,22633,6551,591,661,89.4,524,596,87.9,145,224,64.7,1,1.7,1.4,-0.7,20,115,13,4,138,MF,25-29,Midfielder,France,Europe
418658,Charles Abi,FRA,Saint-tienne,Ligue 1,2020,20.0,2000.0,10.1,128,202,63.4,1703,317,81,111,73.0,27,44,61.4,9,17,52.9,2,0.3,0.3,1.7,6,11,6,0,21,"FW,MF",20-24,Forward,France,Europe
58178,David Abraham,ARG,Eint Frankfurt,Bundesliga,2020,34.0,1986.0,13.6,558,678,82.3,10633,3990,214,239,89.5,280,325,86.2,60,95,63.2,0,0.4,0.5,-0.4,2,50,3,1,55,DF,30-34,Defender,Argentina,South America
331726,Tammy Abraham,ENG,Chelsea,Premier League,2020,22.0,1997.0,11.6,149,211,70.6,1714,297,85,111,76.6,33,46,71.7,4,8,50.0,1,0.7,0.2,0.3,9,14,1,0,11,FW,20-24,Forward,England,Europe
332705,Tyler Adams,USA,RB Leipzig,Bundesliga,2020,21.0,1999.0,20.6,1173,1375,85.3,17415,5037,670,730,91.8,394,456,86.4,65,108,60.2,1,0.9,1.5,0.1,14,97,24,3,113,"MF,DF",20-24,Midfielder,United States,North America
125614,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2020,27.0,1993.0,5.3,103,156,66.0,1445,379,61,80,76.3,29,41,70.7,7,11,63.6,3,2.3,0.9,0.7,11,5,7,2,17,"FW,MF",25-29,Forward,Armenia,Asia
258878,Tosin Adarabioyo,ENG,Fulham,Premier League,2020,22.0,1997.0,32.8,1647,1918,85.9,33255,12650,484,551,87.8,949,1008,94.1,196,318,61.6,0,0.3,0.4,-0.3,5,71,5,0,75,DF,20-24,Defender,England,Europe
395236,Yacine Adli,FRA,Bordeaux,Ligue 1,2020,20.0,2000.0,26.9,1327,1631,81.4,24310,6907,569,643,88.5,548,642,85.4,167,251,66.5,5,4.4,3.0,0.6,53,158,20,2,188,MF,20-24,Midfielder,France,Europe
393512,Felix Agu,GER,Werder Bremen,Bundesliga,2020,20.0,1999.0,7.8,210,299,70.2,3068,1068,125,150,83.3,66,101,65.3,11,24,45.8,0,0.5,0.4,-0.5,3,10,3,2,9,DF,20-24,Defender,Germany,Europe
