player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswinging_corners,outswinging_corners,straight_corners,passes_completed,passes_offside,passes_blocked,position,age_range,general_position,country,continent
199704,Yunis Abdelhamid,MAR,Reims,Ligue 1,2019,31.0,1987.0,28.0,1570,1491,75,72,0,13,1,3,0,0,0,0,1323,4,10,DF,30-34,Defender,Morocco,Africa
356118,Suleiman Abdullahi,NGA,Union Berlin,Bundesliga,2019,22.0,1996.0,1.7,42,42,0,0,0,0,8,0,0,0,0,0,19,0,3,"FW,MF",20-24,Forward,Nigeria,Africa
58178,David Abraham,ARG,Eint Frankfurt,Bundesliga,2019,33.0,1986.0,18.8,911,857,52,22,0,12,9,30,0,0,0,0,738,2,5,DF,30-34,Defender,Argentina,South America
331726,Tammy Abraham,ENG,Chelsea,Premier League,2019,21.0,1997.0,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24,FW,20-24,Forward,England,Europe
66005,Amir Abrashi,ALB,Freiburg,Bundesliga,2019,29.0,1990.0,7.4,330,317,13,9,0,0,7,1,0,0,0,0,280,0,9,MF,25-29,Midfielder,Albania,Europe
131075,Francesco Acerbi,ITA,Lazio,Serie A,2019,31.0,1988.0,35.1,2073,1979,93,69,3,38,26,23,1,0,0,0,1844,1,12,DF,30-34,Defender,Italy,Europe
332705,Tyler Adams,USA,RB Leipzig,Bundesliga,2019,20.0,1999.0,10.6,703,626,77,21,0,5,10,56,0,0,0,0,584,0,14,"MF,DF",20-24,Midfielder,United States,North America
125614,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2019,26.0,1993.0,8.3,180,169,10,0,0,1,11,7,0,0,0,0,128,1,11,"FW,MF",25-29,Forward,Armenia,Asia
337716,Claud Adjapong,ITA,Hellas Verona,Serie A,2019,21.0,1998.0,2.6,83,69,14,0,0,0,3,14,0,0,0,0,58,0,1,DF,20-24,Defender,Italy,Europe
395236,Yacine Adli,FRA,Bordeaux,Ligue 1,2019,19.0,2000.0,11.3,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8,MF,Under 20,Midfielder,France,Europe
361914,Nayef Aguerd,MAR,Dijon,Ligue 1,2019,23.0,1996.0,10.6,597,578,17,13,0,17,1,4,0,0,0,0,492,2,3,DF,20-24,Defender,Morocco,Africa
26399,Sergio Agero,ARG,Manchester City,Premier League,2019,31.0,1988.0,16.1,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7,FW,30-34,Forward,Argentina,South America
203746,Ruben Aguilar,FRA,Monaco,Ligue 1,2019,26.0,1993.0,11.9,787,665,122,13,1,3,63,109,0,0,0,0,662,0,14,DF,25-29,Defender,France,Europe
178313,Jean-Eudes Aholou,CIV,Saint-tienne,Ligue 1,2019,25.0,1994.0,7.0,310,304,4,4,1,4,3,0,0,0,0,0,260,2,2,MF,25-29,Midfielder,Ivory Coast,Africa
358250,Joseph Aidoo,GHA,Celta Vigo,La Liga,2019,23.0,1995.0,27.8,1250,1203,47,37,1,7,1,10,0,0,0,0,1078,0,14,DF,20-24,Defender,Ghana,Africa
236490,Ola Aina,NGA,Torino,Serie A,2019,22.0,1996.0,23.1,1185,936,243,14,1,5,62,225,4,0,0,0,862,6,27,DF,20-24,Defender,Nigeria,Africa
283994,Ludovic Ajorque,FRA,Strasbourg,Ligue 1,2019,25.0,1994.0,22.9,516,493,18,0,4,5,13,3,0,0,0,0,354,5,5,FW,25-29,Forward,France,Europe
177476,Nathan Ak,NED,Bournemouth,Premier League,2019,24.0,1995.0,27.8,1238,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8,DF,20-24,Defender,Netherlands,Europe
247459,Chadrac Akolo,COD,Amiens,Ligue 1,2019,24.0,1995.0,6.0,209,204,5,3,0,1,6,1,1,0,1,0,169,0,6,"FW,MF",20-24,Forward,DR Congo,Africa
