player_id,player,nation,squad,comp,season,age,born,ninety_mins_played,touches,def_pen_area_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_area_touches,live_ball_touches,take_ons_attempted,take_ons_successful,take_on_succ_pct,take_ons_tackled,take_on_tackled_pct,carries,total_distance_carried,progressive_carries_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position,age_range,general_position,country,continent
199704,Yunis Abdelhamid,MAR,Reims,Ligue 1,2020,32.0,1987.0,32.1,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3,DF,30-34,Defender,Morocco,Africa
238626,Laurent Abergel,FRA,Lorient,Ligue 1,2020,27.0,1993.0,32.9,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140,32,32,4,53,44,1288,35,MF,25-29,Midfielder,France,Europe
418658,Charles Abi,FRA,Saint-Étienne,Ligue 1,2020,20.0,2000.0,10.1,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424,13,15,2,33,20,242,48,"FW,MF",20-24,Forward,France,Europe
58178,David Abraham,ARG,Eint Frankfurt,Bundesliga,2020,34.0,1986.0,13.6,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030,12,8,1,7,1,441,21,DF,30-34,Defender,Argentina,South America
331726,Tammy Abraham,ENG,Chelsea,Premier League,2020,22.0,1997.0,11.6,358,20,35,171,154,61,358,18,6,33.3,12,66.7,154,694,266,12,5,8,33,7,239,66,FW,20-24,Forward,England,Europe
332705,Tyler Adams,USA,RB Leipzig,Bundesliga,2020,21.0,1999.0,20.6,1591,47,327,964,313,19,1591,26,15,57.7,11,42.3,901,4292,1941,27,31,3,37,14,1056,70,"MF,DF",20-24,Midfielder,United States,North America
125614,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,2020,27.0,1993.0,5.3,226,2,20,63,146,38,226,7,3,42.9,4,57.1,151,1099,514,20,16,3,14,6,176,58,"FW,MF",25-29,Forward,Armenia,Asia
258878,Tosin Adarabioyo,ENG,Fulham,Premier League,2020,22.0,1997.0,32.8,2272,398,1310,900,67,35,2272,14,11,78.6,3,21.4,1337,5844,3132,5,5,0,12,5,1522,3,DF,20-24,Defender,England,Europe
395236,Yacine Adli,FRA,Bordeaux,Ligue 1,2020,20.0,2000.0,26.9,1920,40,348,1217,390,25,1920,79,50,63.3,29,36.7,1179,5988,3121,54,50,10,42,41,1422,48,MF,20-24,Midfielder,France,Europe
393512,Felix Agu,GER,Werder Bremen,Bundesliga,2020,20.0,1999.0,7.8,409,21,152,180,80,7,409,11,5,45.5,6,54.5,160,841,345,7,4,1,21,7,191,33,DF,20-24,Defender,Germany,Europe
587458,Kevin Agudelo,COL,Spezia,Serie A,2020,21.0,1998.0,15.1,544,2,58,233,271,56,544,76,44,57.9,32,42.1,325,2764,1424,50,35,24,35,25,357,82,FW,20-24,Forward,Colombia,South America
361914,Nayef Aguerd,MAR,Rennes,Ligue 1,2020,24.0,1996.0,35.0,3016,241,1281,1679,75,38,3016,11,9,81.8,2,18.2,1885,7924,4548,14,16,1,11,10,2257,2,DF,20-24,Defender,Morocco,Africa
26399,Sergio Agüero,ARG,Manchester City,Premier League,2020,32.0,1988.0,6.2,234,0,5,99,131,45,232,13,8,61.5,5,38.5,155,769,330,12,10,3,15,11,191,39,FW,30-34,Forward,Argentina,South America
203746,Ruben Aguilar,FRA,Monaco,Ligue 1,2020,27.0,1993.0,24.7,1876,53,371,890,633,58,1876,29,12,41.4,17,58.6,944,5100,2717,74,52,4,40,14,1171,231,"DF,MF",25-29,Defender,France,Europe
