player_id,market_value_in_eur,player_name,club_name,competition_name,year,club_in_year
271988,100000,Borja Fernández,Valladolid,La Liga,2018,Valladolid
7663,500000,Joaquín,Betis,La Liga,2018,Betis
323169,2000000,Sergio García,Espanyol,La Liga,2018,Espanyol
8198,120000000,Cristiano Ronaldo,Manchester Utd,Premier League,2018,Juventus
12249,12000000,Éver Banega,Sevilla,La Liga,2018,Sevilla
15956,6000000,Jesús Navas,Sevilla,La Liga,2018,Sevilla
16306,40000000,Casemiro,Manchester Utd,Premier League,2018,Real Madrid
18922,50000000,Karim Benzema,Real Madrid,La Liga,2018,Real Madrid
18944,40000000,Gerard Piqué,Barcelona,La Liga,2018,Barcelona
20506,5000000,Andrés Guardado,Betis,La Liga,2018,Betis
21725,18000000,Filipe Luís,Atlético Madrid,La Liga,2018,Atlético Madrid
25557,40000000,Sergio Ramos,Sevilla,La Liga,2018,Real Madrid
26066,500000,Iván Ramis,Eibar,La Liga,2018,Eibar
26148,100000,Juanjo Camacho,Huesca,La Liga,2018,Huesca
27374,6000000,Sidnei,Betis,La Liga,2018,Betis
27389,20000000,Kévin Gameiro,Strasbourg,Ligue 1,2018,Valencia
28003,180000000,Lionel Messi,Paris S-G,Ligue 1,2018,Barcelona
29124,1000000,Aritz Aduriz,Athletic Club,La Liga,2018,Athletic Club
30677,4000000,Gustavo Cabral,Celta Vigo,La Liga,2018,Celta Vigo
31909,80000000,Toni Kroos,Real Madrid,La Liga,2018,Real Madrid
35939,15000000,Ezequiel Garay,Valencia,La Liga,2018,Valencia
37712,1500000,Daniel Carriço,Sevilla,La Liga,2018,Sevilla
37917,2000000,Nabil El Zhar,Leganés,La Liga,2018,Leganés
39381,75000000,Gareth Bale,Real Madrid,La Liga,2018,Real Madrid
40888,5000000,Beñat Etxebarria,Athletic Club,La Liga,2018,Athletic Club
44065,1500000,Esteban Granero,Espanyol,La Liga,2018,Espanyol
424784,85000000,Luis Suárez,Atlético Madrid,La Liga,2018,Barcelona
45121,8000000,Loïc Rémy,Brest,Ligue 1,2018,Lille
45319,5000000,Gabriel Mercado,Sevilla,La Liga,2018,Sevilla
51510,2000000,Ángel Rodríguez,Mallorca,La Liga,2018,Getafe
51663,1000000,Pedro Alcalá,Cádiz,La Liga,2018,Girona
51667,1000000,Kiko Olivas,Valladolid,La Liga,2018,Valladolid
54235,9000000,Iker Muniain,Athletic Club,La Liga,2018,Athletic Club
54928,35000000,Diego Godín,Cagliari,Serie A,2018,Atlético Madrid
56067,6000000,Pablo Piatti,Elche,La Liga,2018,Espanyol
57825,500000,Jorge Molina,Granada,La Liga,2018,Getafe
59323,5000000,Cristhian Stuani,Girona,La Liga,2018,Girona
59344,15000000,Asier Illarramendi,Real Sociedad,La Liga,2018,Real Sociedad
59375,3000000,David Zurutuza,Real Sociedad,La Liga,2018,Real Sociedad
60890,2000000,Fabián Orellana,Valladolid,La Liga,2018,Eibar
62144,500000,Antoñito,Valladolid,La Liga,2018,Valladolid
62920,14000000,Víctor Ruiz,Betis,La Liga,2018,Villarreal
63290,4000000,Víctor Sánchez,Espanyol,La Liga,2018,Espanyol
64598,7000000,Bernardo Espinosa,Girona,La Liga,2018,Girona
65318,9000000,Jaume Costa,Mallorca,La Liga,2018,Villarreal
66106,4000000,Sergio Canales,Betis,La Liga,2018,Betis
67082,25000000,Vitolo,Atlético Madrid,La Liga,2018,Atlético Madrid
67090,1000000,Dídac Vilà,Espanyol,La Liga,2018,Espanyol
67546,600000,Jorge Pulido,Huesca,La Liga,2018,Huesca
67808,2500000,Borja García,Girona,La Liga,2018,Girona
69660,1500000,Jonás Ramalho,Osasuna,La Liga,2018,Girona
69751,40000000,Jordi Alba,Barcelona,La Liga,2018,Barcelona
70934,6000000,Nolito,Celta Vigo,La Liga,2018,Sevilla
71204,400000,Javi Moyano,Valladolid,La Liga,2018,Valladolid
71548,2000000,Anaitz Arbilla,Eibar,La Liga,2018,Eibar
71918,800000,David Ferreiro,Huesca,La Liga,2018,Huesca
72047,18000000,Iago Aspas,Celta Vigo,La Liga,2018,Celta Vigo
568158,1000000,Javi López,Espanyol,La Liga,2018,Espanyol
73636,1500000,Hernán Pérez,Espanyol,La Liga,2018,Espanyol
74229,70000000,Koke,Atlético Madrid,La Liga,2018,Atlético Madrid
74230,18000000,Pablo Sarabia,Wolves,Premier League,2018,Sevilla
75820,400000,Juan Aguilera,Huesca,La Liga,2018,Huesca
76163,12000000,Franco Vázquez,Sevilla,La Liga,2018,Sevilla
76285,400000,Toño,Real Sociedad,La Liga,2018,Levante
76746,2500000,Damián Suárez,Getafe,La Liga,2018,Getafe
77826,6000000,Ryad Boudebouz,Saint-Étienne,Ligue 1,2018,Celta Vigo
80293,6000000,Aïssa Mandi,Lille,Ligue 1,2018,Betis
81988,5000000,Sergi Enrich,Eibar,La Liga,2018,Eibar
85288,75000000,Isco,Betis,La Liga,2018,Real Madrid
85324,5000000,Borja Bastón,Aston Villa,Premier League,2018,Alavés
85370,40000000,Sergi Roberto,Como,Serie A,2018,Barcelona
88490,7500000,Aleix Vidal,Espanyol,La Liga,2018,Sevilla
93935,7500000,Sergio Escudero,Valladolid,La Liga,2018,Sevilla
96718,6000000,Óscar de Marcos,Athletic Club,La Liga,2018,Athletic Club
96828,25000000,Simone Zaza,Torino,Serie A,2018,Torino
98249,3500000,Takashi Inui,Eibar,La Liga,2018,Alavés
98322,3000000,Denis Cheryshev,Valencia,La Liga,2018,Valencia
98596,5000000,John Guidetti,Alavés,La Liga,2018,Alavés
99353,5000000,Portu,Girona,La Liga,2018,Girona
111621,200000,Dani Ojeda,Leganés,La Liga,2018,Leganés
114060,350000,Enric Gallego,Osasuna,La Liga,2018,Huesca
115333,2500000,Juanpe,Girona,La Liga,2018,Girona
119228,15000000,Luis Muriel,Atalanta,Serie A,2018,Fiorentina
119235,12000000,Carlos Bacca,Granada,La Liga,2018,Villarreal
120095,3000000,José Campaña,Las Palmas,La Liga,2018,Levante
122155,12000000,Willian José,Betis,La Liga,2018,Real Sociedad
125781,100000000,Antoine Griezmann,Atlético Madrid,La Liga,2018,Atlético Madrid
126664,16000000,Lucas Digne,Aston Villa,Premier League,2018,Everton
126716,18000000,Paco Alcácer,Villarreal,La Liga,2018,Dortmund
126737,7500000,Juanmi,Getafe,La Liga,2018,Real Sociedad
127189,25000000,Geoffrey Kondogbia,Marseille,Ligue 1,2018,Valencia
127837,3000000,Ibai Gómez,Athletic Club,La Liga,2018,Athletic Club
128295,1000000,Tito,Rayo Vallecano,La Liga,2018,Rayo Vallecano
947431,6500000,David López,Girona,La Liga,2018,Espanyol
129476,14000000,Gerard Deulofeu,Udinese,Serie A,2018,Watford
129693,1500000,Gaku Shibasaki,Getafe,La Liga,2018,Getafe
131248,3000000,Joel Campbell,Frosinone,Serie A,2018,Frosinone
135343,3000000,Fabian Schär,Newcastle Utd,Premier League,2018,Newcastle Utd
138803,1500000,Francisco Portillo,Almería,La Liga,2018,Getafe
141834,6000000,Cristian Tello,Betis,La Liga,2018,Betis
142021,11000000,Sergi Darder,Mallorca,La Liga,2018,Espanyol
142027,600000,Pablo Hervías,Valladolid,La Liga,2018,Valladolid
145769,5000000,Sergio León,Valladolid,La Liga,2018,Betis
146854,25000000,Wissam Ben Yedder,Monaco,Ligue 1,2018,Sevilla
148928,70000000,Saúl Ñíguez,Sevilla,La Liga,2018,Atlético Madrid
486078,1500000,Charles,Eibar,La Liga,2018,Eibar
156808,800000,Unai Bustinza,Leganés,La Liga,2018,Leganés
158791,1800000,Sergio Postigo,Levante,La Liga,2018,Levante
158863,25000000,Iñigo Martínez,Barcelona,La Liga,2018,Athletic Club
160182,100000,José Ángel,Elche,La Liga,2018,Eibar
162056,3500000,Gonzalo Melero,Almería,La Liga,2018,Huesca
164055,1500000,David Juncà,Celta Vigo,La Liga,2018,Celta Vigo
165873,1500000,Federico Barba,Benevento,Serie A,2018,Chievo
175449,2000000,Moi Gómez,Osasuna,La Liga,2018,Huesca
176553,25000000,Aymeric Laporte,Manchester City,Premier League,2018,Manchester City
177046,1000000,Rubén Duarte,Alavés,La Liga,2018,Alavés
177065,4000000,Florin Andone,Brighton,Premier League,2018,Brighton
177467,12000000,Gerard Moreno,Villarreal,La Liga,2018,Villarreal
177847,10000000,Adnan Januzaj,Las Palmas,La Liga,2018,Real Sociedad
178187,1000000,Álex Alegría,Mallorca,La Liga,2018,Rayo Vallecano
182904,15000000,Clément Lenglet,Atlético Madrid,La Liga,2018,Barcelona
183647,7500000,Álvaro González,Marseille,Ligue 1,2018,Villarreal
188838,800000,Bruno González,Valladolid,La Liga,2018,Getafe
189458,1000000,Emiliano Velázquez,Rayo Vallecano,La Liga,2018,Rayo Vallecano
192009,2000000,Unai López,Rayo Vallecano,La Liga,2018,Athletic Club
192735,7500000,Stanislav Lobotka,Napoli,Serie A,2018,Celta Vigo
192736,1500000,Sabin Merino,Leganés,La Liga,2018,Leganés
193098,800000,Álex Moreno,Nott'ham Forest,Premier League,2018,Rayo Vallecano
195171,7000000,Samu Castillejo,Sassuolo,Serie A,2018,Milan
195605,3000000,José Pozo,Rayo Vallecano,La Liga,2018,Rayo Vallecano
197545,5000000,Ander Capa,Athletic Club,La Liga,2018,Athletic Club
203394,7500000,Andreas Pereira,Fulham,Premier League,2018,Manchester Utd
