file,column,rows,missing,%missing,example_non_null
player_defense.csv,nation,19270,13,0.07,FRA
player_defense.csv,age,19270,7,0.04,21.0
player_defense.csv,born,19270,7,0.04,1999.0
player_defense.csv,tackle_pct,19270,2273,11.8,44.2
player_defense.csv,country,19270,126,0.65,France
player_defense.csv,continent,19270,126,0.65,Europe
player_gca.csv,nation,19270,13,0.07,NED
player_gca.csv,age,19270,7,0.04,28.0
player_gca.csv,born,19270,7,0.04,1990.0
player_gca.csv,country,19270,126,0.65,Netherlands
player_gca.csv,continent,19270,126,0.65,Europe
player_misc.csv,nation,19270,13,0.07,FRA
player_misc.csv,age,19270,7,0.04,21.0
player_misc.csv,born,19270,7,0.04,1999.0
player_misc.csv,aerials_won_pct,19270,1455,7.55,45.8
player_misc.csv,country,19270,126,0.65,France
player_misc.csv,continent,19270,126,0.65,Europe
player_shooting.csv,nation,19270,13,0.07,ENG
player_shooting.csv,age,19270,7,0.04,21.0
player_shooting.csv,born,19270,7,0.04,2000.0
player_shooting.csv,shots_on_target_pct,19270,3584,18.6,15.4
player_shooting.csv,goals_per_shot,19270,3584,18.6,0.0
player_shooting.csv,goals_per_shot_on_target,19270,6097,31.64,0.0
player_shooting.csv,avg_shot_distance,19270,3586,18.61,19.9
player_shooting.csv,non_penalty_xg_per_shot,19270,3586,18.61,0.06
player_shooting.csv,country,19270,126,0.65,England
player_shooting.csv,continent,19270,126,0.65,Europe
player_possession.csv,nation,19270,13,0.07,FRA
player_possession.csv,age,19270,7,0.04,21.0
player_possession.csv,born,19270,7,0.04,1999.0
player_possession.csv,take_on_succ_pct,19270,3059,15.87,45.5
player_possession.csv,take_on_tackled_pct,19270,3059,15.87,54.5
player_possession.csv,country,19270,126,0.65,France
player_possession.csv,continent,19270,126,0.65,Europe
player_passing_type.csv,nation,19270,13,0.07,NED
player_passing_type.csv,age,19270,7,0.04,28.0
player_passing_type.csv,born,19270,7,0.04,1990.0
player_passing_type.csv,country,19270,126,0.65,Netherlands
player_passing_type.csv,continent,19270,126,0.65,Europe
player_passing.csv,nation,19270,13,0.07,FRA
player_passing.csv,age,19270,7,0.04,21.0
player_passing.csv,born,19270,7,0.04,1999.0
player_passing.csv,pass_completion_pct,19270,125,0.65,100.0
player_passing.csv,short_pass_completion_pct,19270,306,1.59,88.9
player_passing.csv,medium_pass_completion_pct,19270,456,2.37,78.7
player_passing.csv,long_pass_completion_pct,19270,1191,6.18,100.0
player_passing.csv,country,19270,126,0.65,France
player_passing.csv,continent,19270,126,0.65,Europe
player_standard_stats.csv,nation,19270,13,0.07,ENG
player_standard_stats.csv,age,19270,7,0.04,21.0
player_standard_stats.csv,born,19270,7,0.04,2000.0
player_standard_stats.csv,country,19270,126,0.65,England
player_standard_stats.csv,continent,19270,126,0.65,Europe
