player_id,Name,Height,Foot,Country_of_Birth,City_of_Birth,Continent_of_Birth
532,Claudio Pizarro,184.0,right,Peru,Callao,South America
3333,James Milner,175.0,right,England,Leeds,Europe
3455,Zlatan Ibrahimović,195.0,right,Sweden,Malm,Europe
4018,Daniel Baier,176.0,right,Germany,Kln,Europe
5017,Niklas Moisander,183.0,left,Finland,Turku,Europe
5303,Souleymane Camara,174.0,right,Senegal,Dakar,Africa
5348,Florent Balmont,168.0,right,France,Sainte-Foy-ls-Lyon,Europe
5672,Étienne Didot,175.0,right,France,Paimpol,Europe
5928,Sergio Pellissier,175.0,right,Italy,Aosta,Europe
5947,Daniele De Rossi,184.0,both,Italy,Roma,Europe
6636,Christian Fuchs,187.0,left,Austria,Neunkirchen,Europe
7101,Paolo Sammarco,181.0,right,Italy,Como,Europe
7161,Jonas Hofmann,176.0,right,Germany,Heidelberg,Europe
7512,Borja Fernández,189.0,right,Spain,Ourense,Europe
7663,Joaquín,181.0,right,Spain,El Puerto de Santa Mara,Europe
7922,Sergio García,174.0,right,Spain,Barcelona,Europe
7971,Salomon Kalou,184.0,right,Cote d'Ivoire,Oum,
8198,Cristiano Ronaldo,187.0,right,Portugal,Funchal,Europe
8806,Cesc Fàbregas,179.0,right,Spain,Arenys de Mar,Europe
10003,Wes Morgan,185.0,right,England,Nottingham,Europe
10503,Uwe Hünemeier,189.0,right,Germany,Rietberg,Europe
11111,Ramiro Funes Mori,187.0,left,Argentina,Mendoza,South America
11268,Oliver Fink,187.0,right,Germany,Hirschau,Europe
12249,Éver Banega,174.0,right,Argentina,Rosario,South America
12282,Daley Blind,180.0,left,Netherlands,Amsterdam,Europe
12384,Alexander Tettey,181.0,right,Ghana,Accra,Africa
12563,Goran Pandev,184.0,left,Jugoslawien (SFR),Strumica,
13507,Leighton Baines,170.0,left,England,Kirkby,Europe
13572,Ben Foster,193.0,left,England,Leamington Spa,Europe
13573,Simon Francis,191.0,right,England,Nottingham,Europe
13959,Igor,190.0,right,Brazil,Macei,South America
14086,Ashley Young,175.0,both,England,Stevenage,Europe
14221,Aaron Lennon,165.0,right,England,Chapeltown,Europe
14533,Pirmin Schwegler,178.0,right,Switzerland,Ettiswil,Europe
14942,Darijo Srna,182.0,right,Jugoslawien (SFR),Metkovi,
15338,Fernando,192.0,right,Brazil,Anita Garibaldi,South America
15773,Phil Bardsley,180.0,right,England,Salford,Europe
15799,Santi Cazorla,168.0,both,Spain,Lugo de Llanera,Europe
15951,Dani Alves,172.0,right,Brazil,Juazeiro,South America
15956,Jesús Navas,170.0,right,Spain,Los Palacios y Villafranca,Europe
16136,Dante,188.0,left,Brazil,Salvador da Bahia,South America
16306,Casemiro,185.0,right,Brazil,So Jos dos Campos,South America
16311,Rouwen Hennings,180.0,left,Germany,Bad Oldesloe,Europe
16335,Charles,175.0,right,Brazil,Rio de Janeiro,South America
16631,Ignazio Abate,180.0,right,Italy,Sant'Agata d Goti,Europe
16831,Ken Reichel,185.0,left,Germany,Berlin,Europe
16873,Claudio Terzi,180.0,right,Italy,Milano,Europe
16922,Kevin-Prince Boateng,186.0,right,Germany,Berlin,Europe
17127,Felipe,188.0,left,Brazil,Guaratinguet,South America
18644,Álvaro Negredo,186.0,left,Spain,Madrid,Europe
18900,Hatem Ben Arfa,179.0,left,France,Clamart,Europe
18909,Jimmy Briand,181.0,right,France,Vitry-sur-Seine,Europe
18918,Per Ciljan Skjelbred,175.0,right,Norway,Trondheim,Europe
18922,Karim Benzema,185.0,right,France,Lyon,Europe
18934,Thomas Mangani,183.0,left,France,Carpentras,Europe
18944,Gerard Piqué,194.0,right,Spain,Barcelona,Europe
19112,Christian Gentner,189.0,right,Germany,Nrtingen,Europe
19305,Oscar Wendt,181.0,left,Sweden,Gteborg,Europe
19354,Dennis Aogo,184.0,left,Germany,Karlsruhe,Europe
19447,Giampaolo Pazzini,180.0,right,Italy,Pescia,Europe
19819,Raffael,174.0,right,Brazil,Fortaleza,South America
20005,Papu Gómez,167.0,right,Argentina,Buenos Aires,South America
20007,Pablo Zabaleta,176.0,right,Argentina,Buenos Aires,South America
20081,Gelson Fernandes,180.0,right,Cape Verde,Praia,Africa
20463,Corentin Jean,170.0,right,France,Blois,Europe
20506,Andrés Guardado,167.0,left,Mexico,Guadalajara,North America
20778,Adam Bodzek,184.0,right,Poland,Zabrze,Europe
21725,Filipe Luís,182.0,left,Brazil,Jaragu do Sul,South America
21763,Federico Peluso,188.0,left,Italy,Roma,Europe
21905,Valon Behrami,184.0,right,Jugoslawien (SFR),Mitrovic,
22068,Franck Ribéry,170.0,right,France,Boulogne-sur-Mer,Europe
22140,Domenico Maietta,185.0,right,Italy,Cariati,Europe
22210,Luca Rigoni,185.0,right,Italy,Schio,Europe
22328,Fabio Quagliarella,180.0,right,Unknown,Castellammare di Stabia,
22386,Daniel Congré,185.0,right,France,Toulouse,Europe
22390,Loïc Perrin,181.0,right,France,Saint-tienne,Europe
22440,João Pedro,174.0,left,Portugal,Vila Nova de Famalico,Europe
22720,William,185.0,Unknown,Brazil,Acopora,South America
23492,Thomas Kristensen,188.0,right,Denmark,Virum,Europe
23960,Jérémy Morel,172.0,left,France,Lorient,Europe
25488,Antonio Candreva,180.0,right,Italy,Roma,Europe
25557,Sergio Ramos,184.0,right,Spain,Camas,Europe
26066,Iván Ramis,189.0,right,Spain,Sa Pobla,Europe
26105,Valter Birsa,184.0,left,Jugoslawien (SFR),Sempeter pri Gorici,
26148,Juanjo Camacho,180.0,left,Spain,Valencia,Europe
26267,Fernandinho,179.0,right,Brazil,Londrina,South America
26399,Sergio Agüero,173.0,right,Argentina,Quilmes,South America
26485,Jérôme Boateng,192.0,right,Germany,Berlin,Europe
27374,Sidnei,184.0,right,Brazil,Alegrete,South America
27389,Kévin Gameiro,172.0,right,France,Senlis,Europe
27511,Gary Cahill,193.0,right,England,Dronfield,Europe
27667,Vitolo,168.0,right,Spain,Santa Cruz de Tenerife,Europe
28003,Lionel Messi,170.0,left,Argentina,Rosario,South America
28335,Christophe Jallet,178.0,right,France,Cognac,Europe
28947,Gonzalo Castro,172.0,right,Germany,Wuppertal,Europe
28984,Sol Bamba,190.0,right,France,Ivry-sur-Seine,Europe
29124,Aritz Aduriz,181.0,right,Spain,Donostia-San Sebastin,Europe
29178,Nino,169.0,right,Spain,Almera,Europe
29241,Thiago Silva,181.0,right,Brazil,Rio de Janeiro,South America
29260,Giorgio Chiellini,187.0,left,Italy,Pisa,Europe
29364,João Moutinho,170.0,right,Portugal,Portimo,Europe
