"fact_id","player_id","age_id","position_id","club_id","season_id","market_id","Goals","Goals_per90","Assists","Assists_per90","Goals_Assists","Non_Penalty_xG","xG","xG_per90","Shots_per90","Shot_Creating_Actions","Passes_Completed","Progressive_Passes","Progressive_Carries","Key_Passes","Carries_into_Final_Third","Through_Balls","Dribblers_Tackled","Dribblers_Challenged","Tackles","Clearances","Interceptions","Blocks","Fouls","Errors","Aerials_Won","Yellow_Cards","Red_Cards","Market_Value"
1,532,24,3,111,1,2,5,"0.65",2,"0.26",7,"3.1","3.1","0.4","3.38",23,186,26,7,10,11,6,4,7,10,7,1,14,18,0,36,1,0,"500000.00"
2,3333,17,8,21,1,5,5,"0.25",4,"0.2",9,"1.1","3.4","0.17","1.06",85,1313,164,38,44,43,6,15,41,43,30,18,40,28,0,19,6,1,"12000000.00"
3,3333,18,8,21,2,16,2,"0.19",2,"0.19",4,"0.6","2.2","0.21","0.96",28,682,71,18,10,17,3,6,26,16,17,7,12,11,1,13,4,0,"15000000.00"
4,3333,19,8,21,3,20,0,"0.0",1,"0.08",1,"0.4","0.4","0.03","1.01",27,779,100,21,13,25,1,11,33,26,16,14,30,19,1,24,3,0,"8000000.00"
5,3333,20,8,21,4,23,0,"0.0",1,"0.11",1,"0.4","0.4","0.04","1.06",40,646,73,9,22,9,2,12,29,28,20,17,19,17,0,13,2,0,"3000000.00"
6,3333,21,8,21,5,3,0,"0.0",1,"0.1",1,"0.4","0.4","0.04","0.69",36,563,70,21,13,17,2,15,34,26,15,12,14,16,0,13,2,0,"2000000.00"
7,3333,22,7,25,6,17,0,"0.0",2,"0.23",2,"0.3","0.3","0.03","0.58",24,492,69,11,16,6,4,9,14,20,16,8,9,10,0,6,3,0,"1500000.00"
8,3455,22,3,51,2,33,10,"0.66",5,"0.33",15,"8.3","10.6","0.7","4.16",59,424,63,17,26,21,6,1,13,5,21,5,4,30,0,79,1,0,"3500000.00"
9,3455,23,3,51,3,80,15,"0.9",2,"0.12",17,"11.9","16.2","0.98","4.52",65,380,61,31,20,27,5,3,6,5,27,6,5,33,1,83,2,1,"2800000.00"
10,3455,24,3,51,4,14,8,"0.71",2,"0.18",10,"6.4","7.2","0.64","4.43",47,304,50,13,23,14,3,0,2,0,9,3,2,16,0,44,2,0,"4000000.00"
11,4018,19,2,59,1,13,0,"0.0",1,"0.03",1,"0.9","0.9","0.03","0.83",66,1229,187,50,22,38,3,24,66,62,48,60,27,51,2,28,7,0,"1000000.00"
12,4018,20,2,59,2,30,1,"0.05",0,"0.0",1,"0.5","0.5","0.02","0.74",35,667,77,7,10,15,1,15,43,33,27,58,19,31,0,31,6,0,"800000.00"
13,5017,17,1,111,1,28,0,"0.0",0,"0.0",0,"0.4","0.4","0.01","0.27",36,1669,197,45,12,19,1,22,51,34,140,39,42,34,2,47,7,1,"2500000.00"
14,5017,18,1,111,2,3,0,"0.0",0,"0.0",0,"1.1","1.1","0.05","0.64",22,1355,133,33,5,19,0,11,26,27,85,49,37,31,0,31,5,1,"2000000.00"
15,5303,20,5,82,1,2,3,"1.97",0,"0.0",3,"0.9","0.9","0.59","5.91",6,40,5,4,2,7,1,0,2,0,3,0,0,3,0,6,0,0,"500000.00"
16,5348,24,2,99,2,46,0,"0.0",0,"0.0",0,"0.2","0.2","0.04","1.57",8,213,31,7,2,2,0,7,12,12,3,1,6,4,0,2,1,0,"250000.00"
17,5672,20,2,127,1,2,1,"0.04",1,"0.04",2,"0.8","0.8","0.03","1.03",45,924,150,15,17,11,1,17,44,41,35,37,37,42,0,23,4,0,"500000.00"
18,5928,24,3,125,1,34,4,"0.38",1,"0.09",5,"3.9","5.5","0.52","2.36",29,139,13,12,12,7,1,3,4,4,8,2,8,10,0,25,1,0,"200000.00"
19,5947,20,2,5,1,33,1,"0.07",1,"0.07",2,"1.5","1.5","0.11","0.35",38,811,115,16,16,19,4,3,14,16,33,26,18,12,0,9,3,0,"3500000.00"
20,6636,18,1,57,2,23,0,"0.0",0,"0.0",0,"0.2","0.2","0.03","0.58",11,517,46,8,2,10,0,8,19,14,33,17,8,2,1,19,0,0,"3000000.00"
21,7101,20,2,122,1,44,1,"0.16",0,"0.0",1,"0.2","0.2","0.03","0.98",19,253,49,7,6,8,0,6,9,16,1,3,5,8,2,8,1,0,"300000.00"
22,7663,22,5,80,1,2,6,"0.32",0,"0.0",6,"3.2","3.2","0.17","1.22",84,779,85,85,45,59,0,3,7,10,31,14,13,8,1,14,5,0,"500000.00"
23,7663,23,4,80,2,3,8,"0.35",3,"0.13",11,"3.7","6.0","0.26","1.35",116,919,140,90,61,69,4,4,11,14,22,15,10,11,1,18,4,0,"2000000.00"
24,7663,24,5,80,3,82,2,"0.14",6,"0.42",8,"0.6","0.6","0.04","0.7",54,606,77,46,32,43,1,4,12,9,11,17,8,10,0,13,2,0,"1600000.00"
25,7663,25,5,80,4,17,0,"0.0",1,"0.19",1,"2.0","2.0","0.38","1.91",33,212,28,31,14,20,0,3,8,6,10,3,5,1,0,3,0,0,"1500000.00"
26,7663,26,4,80,5,17,0,"0.0",2,"0.36",2,"0.7","0.7","0.13","1.45",29,258,26,23,21,16,4,1,3,3,5,4,7,1,0,1,2,0,"1500000.00"
27,7971,17,5,39,1,33,8,"0.31",2,"0.08",10,"7.7","10.1","0.39","1.71",74,509,87,77,30,74,9,6,24,21,25,6,23,29,0,38,0,0,"3500000.00"
28,7971,18,5,39,2,23,1,"0.62",0,"0.0",1,"1.1","1.1","0.65","3.08",0,27,7,2,1,2,1,0,2,1,1,0,2,4,0,2,0,0,"3000000.00"
29,8198,18,3,68,1,4,21,"0.7",8,"0.27",29,"17.5","22.2","0.74","5.73",145,915,130,145,47,106,3,1,11,10,32,6,7,19,0,32,3,0,"120000000.00"
30,8198,19,3,68,2,51,31,"0.96",5,"0.15",36,"18.4","28.6","0.88","6.02",148,1052,118,167,51,126,2,4,20,14,21,6,10,25,1,36,3,0,"90000000.00"
31,8198,20,3,68,3,55,29,"0.93",2,"0.06",31,"21.4","27.7","0.89","5.14",122,838,117,154,36,124,3,3,15,6,15,5,11,17,1,21,3,0,"60000000.00"
32,8198,22,3,60,5,43,1,"0.17",0,"0.0",1,"1.9","1.9","0.32","4.29",10,121,12,9,6,6,2,1,2,2,9,1,0,7,0,15,2,0,"30000000.00"
33,8806,17,2,13,2,11,0,"0.0",3,"0.29",3,"0.5","0.5","0.05","0.97",47,636,116,11,23,13,8,6,29,11,3,7,8,11,0,15,1,1,"20000000.00"
34,8806,18,4,13,3,20,2,"0.21",3,"0.31",5,"1.6","3.2","0.33","0.82",59,634,115,10,25,6,2,9,22,20,3,13,11,14,0,7,2,0,"8000000.00"
35,10003,19,1,57,1,23,3,"0.14",0,"0.0",3,"1.8","1.8","0.08","0.65",14,725,43,6,3,6,0,6,7,27,109,32,24,18,1,93,3,2,"3000000.00"
36,10003,20,1,57,2,3,0,"0.0",0,"0.0",0,"0.5","0.5","0.11","0.83",6,218,3,1,0,0,0,0,3,4,19,7,5,4,0,19,0,0,"2000000.00"
37,10503,18,1,104,2,29,1,"0.07",0,"0.0",1,"0.7","1.5","0.11","0.82",15,704,68,13,6,0,0,10,20,20,63,24,22,17,0,38,7,1,"400000.00"
38,11111,12,7,43,1,5,2,"0.07",1,"0.03",3,"2.4","2.4","0.08","0.89",26,985,65,13,6,21,1,19,44,41,149,42,36,32,2,67,15,0,"12000000.00"
39,11111,14,1,43,3,106,0,"0.0",0,"0.0",0,"1.0","1.0","0.13","0.5",4,423,25,19,0,14,0,7,11,12,42,8,7,7,1,22,1,0,"4800000.00"
40,11268,21,2,107,1,46,3,"0.26",0,"0.0",3,"0.7","0.7","0.06","1.02",26,230,51,15,6,8,0,12,38,38,19,13,20,25,0,70,4,0,"250000.00"
41,12249,15,2,87,1,5,3,"0.1",5,"0.17",8,"1.2","2.8","0.09","1.01",136,1823,318,50,53,33,6,20,70,71,28,28,26,57,0,11,17,2,"12000000.00"
42,12249,16,2,87,2,16,3,"0.11",7,"0.25",10,"1.6","3.2","0.11","1.38",132,1959,363,66,59,60,9,21,70,43,5,15,19,31,0,16,10,0,"15000000.00"
43,12282,18,1,129,6,23,1,"0.03",2,"0.06",3,"1.7","1.7","0.05","0.51",48,2304,209,48,17,30,0,29,47,47,113,21,37,19,0,39,6,0,"3000000.00"
44,12282,19,1,129,7,23,0,"0.0",1,"0.08",1,"0.2","0.2","0.01","0.31",21,1123,141,35,6,40,2,12,17,21,38,14,17,8,1,10,2,0,"3000000.00"
45,12384,18,8,78,2,3,1,"0.04",1,"0.04",2,"0.8","0.8","0.03","0.89",24,1142,54,19,5,17,1,11,39,23,72,43,20,21,1,35,5,0,"2000000.00"
46,12563,20,5,27,1,2,4,"0.32",2,"0.16",6,"3.2","3.2","0.26","2.17",53,272,51,34,21,31,8,2,8,14,3,1,7,16,0,9,6,0,"500000.00"
47,12563,21,5,27,2,29,9,"0.48",1,"0.05",10,"5.4","5.4","0.29","1.98",72,441,80,44,22,30,1,3,25,12,5,0,4,17,1,15,6,1,"400000.00"
48,12563,22,5,27,3,107,7,"0.45",3,"0.19",10,"3.4","4.2","0.27","1.22",34,337,44,23,14,16,0,4,10,9,7,2,6,12,1,16,5,0,"325000.00"
49,12563,23,5,27,4,2,0,"0.0",1,"0.11",1,"0.5","0.5","0.06","0.64",20,167,25,9,10,10,4,0,9,2,0,2,3,5,0,6,1,0,"500000.00"
50,13507,18,1,22,1,41,0,"0.0",0,"0.0",0,"0.1","0.1","0.02","0.48",10,208,17,6,4,6,0,4,6,8,8,2,2,2,0,2,0,0,"10000000.00"
51,13572,21,10,85,2,23,0,"0.0",0,"0.0",0,"0.1","0.1","0.0","0.03",4,552,0,0,1,0,0,1,3,1,16,0,1,2,2,9,1,0,"3000000.00"
52,13573,18,1,100,1,28,0,"0.0",2,"0.15",2,"0.1","0.1","0.01","0.22",26,590,69,18,10,14,0,12,24,25,73,19,15,11,1,47,1,0,"2500000.00"
53,14086,18,1,60,1,9,2,"0.07",2,"0.07",4,"0.5","0.5","0.02","0.42",77,1369,155,71,39,35,2,20,39,52,74,55,36,37,0,20,9,1,"5000000.00"
54,14086,20,1,54,3,108,1,"0.06",4,"0.25",5,"1.2","1.3","0.08","0.95",44,542,42,31,29,16,0,3,13,15,31,6,13,13,0,3,4,0,"3200000.00"
