market_value_in_eur,player_name,club_name,competition_name,year,club_in_year
12500000,Kieran Tierney,Arsenal,Premier League,2019,Arsenal
1000000,Roberto Soldado,Levante,La Liga,2019,Granada
1250000,William Vainqueur,Toulouse,Ligue 1,2019,Toulouse
5000000,Fernando,Sevilla,La Liga,2019,Sevilla
4500000,Gary Medel,Bologna,Serie A,2019,Bologna
2500000,Juraj Kucka,Watford,Premier League,2019,Parma
1500000,Merih Demiral,Atalanta,Serie A,2019,Juventus
6500000,Ozan Kabak,Hoffenheim,Bundesliga,2019,Schalke 04
3800000,Gen Shoji,Toulouse,Ligue 1,2019,Toulouse
500000,Takefusa Kubo,Real Sociedad,La Liga,2019,Mallorca
50000,Krisztofer Horváth,Torino,Serie A,2019,SPAL
400000,Philipp Pentke,Köln,Bundesliga,2019,Hoffenheim
400000,Uwe Hünemeier,Paderborn 07,Bundesliga,2019,Paderborn 07
600000,Ken Reichel,Union Berlin,Bundesliga,2019,Union Berlin
250000,Michael Parensen,Union Berlin,Bundesliga,2019,Union Berlin
1000000,Renaud Cohade,Metz,Ligue 1,2019,Metz
800000,Felix Kroos,Union Berlin,Bundesliga,2019,Union Berlin
3500000,Simon Terodde,Schalke 04,Bundesliga,2019,Köln
1000000,Manuel Schmiedebach,Union Berlin,Bundesliga,2019,Union Berlin
1750000,Christian Clemens,Köln,Bundesliga,2019,Köln
500000,Christian Strohdiek,Paderborn 07,Bundesliga,2019,Paderborn 07
9000000,Anthony Modeste,Köln,Bundesliga,2019,Köln
2000000,Marcel Risse,Köln,Bundesliga,2019,Köln
4000000,Dominick Drexler,Schalke 04,Bundesliga,2019,Köln
2000000,Marco Höger,Köln,Bundesliga,2019,Köln
1000000,Alexandre Oukidja,Metz,Ligue 1,2019,Metz
450000,Klaus Gjasula,Darmstadt 98,Bundesliga,2019,Paderborn 07
800000,Yoann Court,Brest,Ligue 1,2019,Brest
2250000,Sebastian Polter,Darmstadt 98,Bundesliga,2019,Union Berlin
600000,Christopher Trimmel,Union Berlin,Bundesliga,2019,Union Berlin
1250000,Julien Faussurier,Brest,Ligue 1,2019,Brest
2000000,Lasse Sobiech,Köln,Bundesliga,2019,Köln
400000,Paul Delecroix,Metz,Ligue 1,2019,Metz
2000000,Stoppila Sunzu,Metz,Ligue 1,2019,Metz
1750000,Rafael Czichos,Köln,Bundesliga,2019,Köln
7000000,Timo Horn,Bochum,Bundesliga,2019,Köln
800000,John Boye,Metz,Ligue 1,2019,Metz
1000000,Florian Hübner,Union Berlin,Bundesliga,2019,Union Berlin
1000000,Akaki Gogia,Union Berlin,Bundesliga,2019,Union Berlin
1500000,Gaëtan Charbonnier,Auxerre,Ligue 1,2019,Brest
550000,Ben Zolinski,Paderborn 07,Bundesliga,2019,Paderborn 07
900000,Gaëtan Belaud,Brest,Ligue 1,2019,Brest
12500000,Jonas Hector,Köln,Bundesliga,2019,Köln
400000,Marius Bülter,Hoffenheim,Bundesliga,2019,Union Berlin
1500000,Sargis Adamyan,Köln,Bundesliga,2019,Hoffenheim
500000,Ferris N'Goma,Brest,Ligue 1,2019,Brest
